symbol,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,profit,investment,note
INDOTHAI,2025-05-28,2025-05-28,179.562744140625,2025-06-04,180.3023223876953,0.004118773360308584,4.118773360308584,1000.0,
JSWHL,2025-06-03,2025-06-03,22320.0,2025-06-10,22695.0,0.016801075268817203,16.801075268817204,1000.0,
CHOLAFIN,2025-06-04,2025-06-04,1512.01953125,2025-06-11,1607.4765625,0.06313214166690348,63.13214166690348,1000.0,
CHOLAFIN,2025-06-05,2025-06-05,1510.9200439453125,2025-06-12,1580.9884033203125,0.04637463091166465,46.374630911664646,1000.0,
JPOLYINVST,2025-06-16,2025-06-16,828.0999755859375,2025-06-23,896.9000244140625,0.08308181482488784,83.08181482488784,1000.0,
GABRIEL,2025-06-23,2025-06-23,589.7139282226562,2025-06-30,699.3516845703125,0.18591685069758213,185.91685069758213,1000.0,
KITEX,2025-06-23,2025-06-23,251.8241424560547,2025-06-30,280.24786376953125,0.11287131184587168,112.87131184587167,1000.0,
LTFOODS,2025-06-23,2025-06-23,403.8942565917969,2025-06-30,484.4042663574219,0.19933437639098175,199.33437639098176,1000.0,
KILITCH,2025-06-24,2025-06-24,418.75,2025-07-01,441.75,0.05492537313432836,54.92537313432836,1000.0,
GOLDETF,2025-06-27,2025-06-27,93.7300033569336,2025-07-04,95.2300033569336,0.01600341348850532,16.00341348850532,1000.0,
ASTRAMICRO,2025-07-01,2025-07-01,1022.8580322265625,2025-07-08,1041.916259765625,0.018632329158697083,18.632329158697083,1000.0,
RADICO,2025-07-02,2025-07-02,2515.35205078125,2025-07-09,2672.02490234375,0.062286649502537254,62.28664950253725,1000.0,
SVLL,2025-07-07,2025-07-07,685.2999877929688,2025-07-14,706.0,0.03020576765760105,30.20576765760105,1000.0,
KRISHANA,2025-07-08,2025-07-08,425.6922607421875,2025-07-15,481.89501953125,0.13202673379843435,132.02673379843435,1000.0,
KILITCH,2025-07-09,2025-07-09,412.1798400878906,2025-07-16,459.29998779296875,0.11431938955343018,114.31938955343018,1000.0,
BEL,2025-07-18,2025-07-18,393.8363342285156,2025-07-25,394.2853088378906,0.001140003017381559,1.140003017381559,1000.0,
SOUTHBANK,2025-07-21,2025-07-21,28.690448760986328,2025-07-28,29.20348358154297,0.017881728683668153,17.881728683668154,1000.0,
DIVISLAB,2025-07-22,2025-07-22,6583.02490234375,2025-07-29,6676.5,0.014199414257565716,14.199414257565715,1000.0,
MFSL,2025-07-24,2025-07-24,1525.800048828125,2025-07-31,1501.4000244140625,-0.015991626447254794,-15.991626447254793,1000.0,
CEMPRO,2025-07-24,,,,,,,1000.0,no price data
CAMLINFINE,2025-07-24,2025-07-24,280.3500061035156,2025-07-31,267.45001220703125,-0.04601388840962328,-46.013888409623284,1000.0,
MFSL,2025-07-25,2025-07-25,1526.699951171875,2025-08-01,1472.5,-0.03550137741883847,-35.50137741883847,1000.0,
FINIETF,2025-07-25,2025-07-25,30.010000228881836,2025-08-01,29.290000915527344,-0.023991979602238048,-23.991979602238047,1000.0,
LUMAXTECH,2025-07-25,2025-07-25,1032.4595947265625,2025-08-01,1083.8138427734375,0.04973971699151646,49.73971699151646,1000.0,
ABBOTINDIA,2025-07-28,2025-07-28,32895.0,2025-08-04,33995.0,0.03343973248214014,33.43973248214014,1000.0,
DEEPAKFERT,2025-07-28,2025-07-28,1509.5894775390625,2025-08-04,1534.41162109375,0.016442976003749468,16.442976003749468,1000.0,
VISHNU,2025-07-28,2025-07-28,495.0376892089844,2025-08-04,496.88653564453125,0.003734758940276098,3.734758940276098,1000.0,
GOODLUCK,2025-07-28,2025-07-28,1013.1142578125,2025-08-04,1075.6865234375,0.06176229891394978,61.76229891394978,1000.0,
BHARTIHEXA,2025-07-28,2025-07-28,1758.4000244140625,2025-08-04,1859.0,0.05721108632232852,57.21108632232852,1000.0,
LUMAXTECH,2025-07-28,2025-07-28,1035.4453125,2025-08-04,1142.5328369140625,0.1034217095980745,103.4217095980745,1000.0,
ABCAPITAL,2025-07-28,2025-07-28,253.75,2025-08-04,278.45001220703125,0.09733994958435961,97.33994958435962,1000.0,
AFFLE,2025-07-28,2025-07-28,1839.800048828125,2025-08-04,1913.800048828125,0.04022176216765234,40.22176216765234,1000.0,
CEMPRO,2025-07-29,,,,,,,1000.0,no price data
ABCAPITAL,2025-08-01,2025-08-01,251.4499969482422,2025-08-08,271.79998779296875,0.0809305670777771,80.9305670777771,1000.0,
CENTUM,2025-08-04,2025-08-04,2165.800048828125,2025-08-11,2446.0,0.12937480139197804,129.37480139197805,1000.0,
BEL,2025-08-05,2025-08-05,385.7550964355469,2025-08-12,379.4696960449219,-0.016293758523745604,-16.293758523745606,1000.0,
PRIVISCL,2025-08-05,2025-08-05,2290.0,2025-08-12,2429.699951171875,0.061004345489901746,61.004345489901745,1000.0,
SUVEN,2025-08-06,2025-08-06,255.0500030517578,2025-08-13,232.25,-0.08939424731993029,-89.39424731993029,1000.0,
GRMOVER,2025-08-06,2025-08-06,120.43333435058594,2025-08-13,123.56666564941406,0.026017143141672725,26.017143141672726,1000.0,
ERIS,2025-08-07,2025-08-07,1694.5999755859375,2025-08-14,1684.5,-0.005960094259086282,-5.960094259086282,1000.0,
BEL,2025-08-08,2025-08-08,383.7098388671875,,,,,1000.0,no exit (insufficient data)
SUVEN,2025-08-08,2025-08-08,250.8000030517578,,,,,1000.0,no exit (insufficient data)
GRMOVER,2025-08-08,2025-08-08,119.1500015258789,,,,,1000.0,no exit (insufficient data)
LTF,2025-08-08,2025-08-08,195.64999389648438,,,,,1000.0,no exit (insufficient data)
BEL,2025-08-11,2025-08-11,383.0114440917969,2025-08-19,380.04998779296875,-0.0077320308427085765,-7.732030842708577,1000.0,
FMGOETZE,2025-08-11,2025-08-11,537.4000244140625,2025-08-19,525.75,-0.02167849625009739,-21.67849625009739,1000.0,
RHL,2025-08-11,2025-08-11,262.1000061035156,2025-08-19,279.45001220703125,0.06619613010105498,66.19613010105498,1000.0,
TERASOFT,2025-08-11,2025-08-11,282.1381530761719,2025-08-19,288.4234313964844,0.02227730724038445,22.277307240384452,1000.0,
SETF10GILT,2025-08-11,2025-08-11,257.29998779296875,2025-08-19,256.1000061035156,-0.004663745613616842,-4.663745613616841,1000.0,
LTGILTBEES,2025-08-11,2025-08-11,28.790000915527344,2025-08-19,28.68000030517578,-0.003820792179698603,-3.820792179698603,1000.0,
GSEC10YEAR,2025-08-12,2025-08-12,29.1299991607666,2025-08-20,29.049999237060547,-0.002746307106448587,-2.7463071064485867,1000.0,
STAR,2025-08-12,2025-08-12,816.0,2025-08-20,876.5499877929688,0.0742034164129519,74.20341641295191,1000.0,
GILT5YBEES,2025-08-12,2025-08-12,62.529998779296875,2025-08-20,62.470001220703125,-0.0009595003960501381,-0.959500396050138,1000.0,
LUMAXTECH,2025-08-13,2025-08-13,1012.0,2025-08-21,1142.4000244140625,0.12885377906527914,128.85377906527916,1000.0,
