symbol,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,profit,investment,note
INDOTHAI,2025-05-28,2025-05-28,179.56,2025-06-04,180.30,0.41%,4.12,1000.00,
JSWHL,2025-06-03,2025-06-03,22320.00,2025-06-10,22695.00,1.68%,16.80,1000.00,
CHOLAFIN,2025-06-04,2025-06-04,1512.02,2025-06-11,1607.48,6.31%,63.13,1000.00,
CHOLAFIN,2025-06-05,2025-06-05,1510.92,2025-06-12,1580.99,4.64%,46.37,1000.00,
JPOLYINVST,2025-06-16,2025-06-16,828.10,2025-06-23,896.90,8.31%,83.08,1000.00,
GABRIEL,2025-06-23,2025-06-23,589.71,2025-06-30,699.35,18.59%,185.92,1000.00,
KITEX,2025-06-23,2025-06-23,251.82,2025-06-30,280.25,11.29%,112.87,1000.00,
LTFOODS,2025-06-23,2025-06-23,403.89,2025-06-30,484.40,19.93%,199.33,1000.00,
KILITCH,2025-06-24,2025-06-24,418.75,2025-07-01,441.75,5.49%,54.93,1000.00,
GOLDETF,2025-06-27,2025-06-27,93.73,2025-07-04,95.23,1.60%,16.00,1000.00,
ASTRAMICRO,2025-07-01,2025-07-01,1022.86,2025-07-08,1041.92,1.86%,18.63,1000.00,
RADICO,2025-07-02,2025-07-02,2515.35,2025-07-09,2672.02,6.23%,62.29,1000.00,
SVLL,2025-07-07,2025-07-07,685.30,2025-07-14,706.00,3.02%,30.21,1000.00,
KRISHANA,2025-07-08,2025-07-08,425.69,2025-07-15,481.90,13.20%,132.03,1000.00,
KILITCH,2025-07-09,2025-07-09,412.18,2025-07-16,459.30,11.43%,114.32,1000.00,
BEL,2025-07-18,2025-07-18,393.84,2025-07-25,394.29,0.11%,1.14,1000.00,
SOUTHBANK,2025-07-21,2025-07-21,28.69,2025-07-28,29.20,1.79%,17.88,1000.00,
DIVISLAB,2025-07-22,2025-07-22,6583.02,2025-07-29,6676.50,1.42%,14.20,1000.00,
MFSL,2025-07-24,2025-07-24,1525.80,2025-07-31,1501.40,-1.60%,-15.99,1000.00,
CEMPRO,2025-07-24,,,,,,,1000.00,no price data
CAMLINFINE,2025-07-24,2025-07-24,280.35,2025-07-31,267.45,-4.60%,-46.01,1000.00,
MFSL,2025-07-25,2025-07-25,1526.70,2025-08-01,1472.50,-3.55%,-35.50,1000.00,
FINIETF,2025-07-25,2025-07-25,30.01,2025-08-01,29.29,-2.40%,-23.99,1000.00,
LUMAXTECH,2025-07-25,2025-07-25,1032.46,2025-08-01,1083.81,4.97%,49.74,1000.00,
ABBOTINDIA,2025-07-28,2025-07-28,32895.00,2025-08-04,33995.00,3.34%,33.44,1000.00,
DEEPAKFERT,2025-07-28,2025-07-28,1509.59,2025-08-04,1534.41,1.64%,16.44,1000.00,
VISHNU,2025-07-28,2025-07-28,495.04,2025-08-04,496.89,0.37%,3.73,1000.00,
GOODLUCK,2025-07-28,2025-07-28,1013.11,2025-08-04,1075.69,6.18%,61.76,1000.00,
BHARTIHEXA,2025-07-28,2025-07-28,1758.40,2025-08-04,1859.00,5.72%,57.21,1000.00,
LUMAXTECH,2025-07-28,2025-07-28,1035.45,2025-08-04,1142.53,10.34%,103.42,1000.00,
ABCAPITAL,2025-07-28,2025-07-28,253.75,2025-08-04,278.45,9.73%,97.34,1000.00,
AFFLE,2025-07-28,2025-07-28,1839.80,2025-08-04,1913.80,4.02%,40.22,1000.00,
CEMPRO,2025-07-29,,,,,,,1000.00,no price data
ABCAPITAL,2025-08-01,2025-08-01,251.45,2025-08-08,271.80,8.09%,80.93,1000.00,
CENTUM,2025-08-04,2025-08-04,2165.80,2025-08-11,2446.00,12.94%,129.37,1000.00,
BEL,2025-08-05,2025-08-05,385.76,2025-08-12,379.47,-1.63%,-16.29,1000.00,
PRIVISCL,2025-08-05,2025-08-05,2290.00,2025-08-12,2429.70,6.10%,61.00,1000.00,
SUVEN,2025-08-06,2025-08-06,255.05,2025-08-13,232.25,-8.94%,-89.39,1000.00,
GRMOVER,2025-08-06,2025-08-06,120.43,2025-08-13,123.57,2.60%,26.02,1000.00,
ERIS,2025-08-07,2025-08-07,1694.60,2025-08-14,1684.50,-0.60%,-5.96,1000.00,
BEL,2025-08-08,2025-08-08,383.71,,,,,1000.00,no exit (insufficient data)
SUVEN,2025-08-08,2025-08-08,250.80,,,,,1000.00,no exit (insufficient data)
GRMOVER,2025-08-08,2025-08-08,119.15,,,,,1000.00,no exit (insufficient data)
LTF,2025-08-08,2025-08-08,195.65,,,,,1000.00,no exit (insufficient data)
